,user_id,product_id,avg_score,user_rating,user_skintype,user_eyecolor,user_haircolor,user_skintone,user_age,demo
40,Fucku2010,P436506,4.1151,4,combination,brown,brunette,tan,,314
41,mmck07,P436506,4.1151,4,normal,brown,brunette,light,,311
42,nura77,P436506,4.1151,2,combination,brown,brunette,light,,311
43,LipstickJasmine,P436506,4.1151,4,combination,brown,black,fair,13to17,340
44,groovemonsters,P436506,4.1151,1,combination,brown,black,medium,,343
45,Moliscious,P436506,4.1151,5,dry,brown,black,fair,,340
46,steamin,P436506,4.1151,3,dry,hazel,auburn,porcelain,,255
47,jmh444,P436506,4.1151,5,combination,hazel,auburn,light,,251
48,gimmecoffee,P436506,4.1151,5,combination,green,blonde,light,45to54,021
49,Roro65,P436506,4.1151,3,combination,brown,blonde,tan,45to54,324
50,hellokitty82,P436506,4.1151,4,dry,brown,black,light,,341
51,lennonn,P436506,4.1151,3,dry,blue,blonde,medium,,123
52,Lokilover,P436506,4.1151,2,combination,brown,brunette,light,25to34,311
53,LBJan,P436506,4.1151,4,normal,brown,brunette,tan,,314
54,maquilleur109,P436506,4.1151,5,combination,hazel,brunette,light,,211
55,Maddieb5,P436506,4.1151,4,combination,brown,brunette,fair,,310
56,Snowflaky,P436506,4.1151,4,dry,brown,brunette,fair,,310
57,lalu25800,P436506,4.1151,5,combination,brown,blonde,tan,,324
58,CarleyP0205,P436506,4.1151,4,dry,brown,brunette,fair,,310
59,ajayjustice10,P436506,4.1151,5,oily,brown,blonde,medium,,323
60,triniminnie102,P436506,4.1151,2,oily,brown,black,deep,,346
61,nan2iz,P436506,4.1151,4,dry,brown,brunette,tan,,314
62,spacesh1p,P436506,4.1151,4,combination,brown,blonde,light,,321
63,neeksmm,P436506,4.1151,1,combination,brown,brunette,light,,311
64,MrsDalrymple,P436506,4.1151,2,normal,brown,gray,light,,361
65,zoiepie,P436506,4.1151,4,combination,brown,black,dark,,347
66,nvanryen,P436506,4.1151,3,combination,brown,brunette,light,,311
67,LoveKuma,P436506,4.1151,3,normal,brown,black,light,18to24,341
68,xDasha,P436506,4.1151,5,combination,hazel,black,light,,241
69,FatimaHassan,P436506,4.1151,5,combination,brown,black,light,25to34,341
70,mattelipliker,P436506,4.1151,5,normal,brown,black,tan,,344
71,aaroxan,P436506,4.1151,3,combination,brown,black,tan,,344
72,courtneylaytonk,P436506,4.1151,3,dry,hazel,brunette,medium,,213
73,TinaInTheSun,P436506,4.1151,3,dry,green,brunette,tan,,014
74,AubreyJ77,P436506,4.1151,1,combination,hazel,blonde,fair,35to44,220
75,emartin22,P436506,4.1151,4,combination,green,brunette,light,,011
76,llullumss,P436506,4.1151,1,combination,hazel,blonde,fair,,220
77,davda,P436506,4.1151,1,combination,brown,brunette,olive,,312
78,wollberg5,P436506,4.1151,5,normal,brown,brunette,fair,,310
79,egracelett2,P436506,4.1151,5,normal,blue,blonde,light,over54,121
80,manpreet12,P436506,4.1151,3,dry,brown,black,tan,25to34,344
81,raboo,P436506,4.1151,5,combination,brown,black,medium,,343
82,pianpian,P436506,4.1151,5,combination,brown,black,fair,,340
83,brianaespinoza3,P436506,4.1151,5,combination,green,blonde,light,,021
84,amarisnmercado7,P436506,4.1151,5,combination,brown,brunette,tan,,314
85,ajayjustice10,P436506,4.1151,5,oily,brown,blonde,medium,,323
86,BeautyjanetteZ,P436506,4.1151,5,oily,brown,brunette,medium,,313
87,bbtexasgal20,P436506,4.1151,5,dry,brown,brunette,medium,,313
88,chris310,P436506,4.1151,1,combination,green,brunette,medium,45to54,013
89,Monneet,P436506,4.1151,5,combination,brown,red,light,,301
90,MissAlldiva,P436506,4.1151,5,normal,brown,black,ebony,over54,348
91,myraywhite,P436506,4.1151,5,combination,brown,red,medium,,303
92,najide,P436506,4.1151,5,dry,brown,brunette,olive,,312
93,lifewithrowan,P436506,4.1151,5,combination,brown,brunette,medium,,313
94,FrancesArbie,P436506,4.1151,5,dry,brown,black,tan,,344
95,clmiller1990,P436506,4.1151,5,combination,blue,blonde,light,,121
96,mrssmith2013,P436506,4.1151,5,normal,brown,blonde,medium,,323
97,yogijb,P436506,4.1151,2,,,,,,439
98,seloves123,P436506,4.1151,5,combination,brown,brunette,medium,,313
99,Kailllllllllll,P436506,4.1151,4,normal,green,blonde,fair,,020
100,emaleecraig,P421813,4.2669,5,combination,brown,brunette,light,,311
101,Dayah,P421813,4.2669,5,combination,brown,black,dark,18to24,347
102,luvmakeup03,P421813,4.2669,2,oily,brown,brunette,light,,311
103,NicoleSOMD,P421813,4.2669,5,combination,brown,brunette,ebony,,318
104,trean7,P421813,4.2669,5,,,,,,439
105,gosiaj,P421813,4.2669,4,,,,,,439
106,DrHeatherPHD,P421813,4.2669,5,combination,hazel,blonde,fair,,220
107,CocoBreezi,P421813,4.2669,5,oily,brown,black,dark,,347
108,jiayixx,P421813,4.2669,5,,,,,35to44,439
109,farashenka,P421813,4.2669,5,combination,brown,brunette,medium,,313
110,eclairewar,P421813,4.2669,5,combination,blue,blonde,fair,18to24,120
111,MartitaVA,P421813,4.2669,5,dry,brown,black,light,,341
112,AnamKS,P421813,4.2669,3,combination,brown,brunette,olive,,312
113,juliadevinem,P421813,4.2669,3,dry,green,brunette,fair,,010
114,poncechikk,P421813,4.2669,5,oily,hazel,blonde,medium,,223
115,imnicmarie,P421813,4.2669,5,,brown,,deep,25to34,336
116,kelllllyyyyy,P421813,4.2669,2,dry,hazel,blonde,light,,221
117,Nikki2874,P421813,4.2669,5,combination,brown,black,olive,,342
118,JJR35,P421813,4.2669,5,,brown,,deep,25to34,336
119,Aelione,P421813,4.2669,4,combination,blue,brunette,fair,,110
120,xSouthernBellex,P421813,4.2669,5,dry,hazel,brunette,olive,,212
121,addictedtolipst,P421813,4.2669,1,oily,brown,brunette,olive,,312
122,dfletch,P421813,4.2669,5,,brown,,olive,25to34,332
124,blessstine,P421813,4.2669,5,combination,hazel,auburn,tan,,254
125,Tamara76,P421813,4.2669,5,combination,green,blonde,light,,021
126,LizKitty,P421813,4.2669,4,dry,brown,blonde,light,over54,321
127,mrsbaine,P421813,4.2669,2,dry,hazel,brunette,deep,25to34,216
128,nadstar,P421813,4.2669,5,,,,,,439
129,onathewave,P421813,4.2669,5,combination,hazel,red,fair,,200
130,LiveLife13,P421813,4.2669,5,,,,,,439
132,bigrings,P421813,4.2669,5,,,,,,439
133,PinkEvergreen,P421813,4.2669,3,combination,hazel,brunette,fair,,210
134,Steffurlicious,P421813,4.2669,5,normal,brown,black,tan,,344
135,jessie4,P421813,4.2669,3,combination,brown,black,light,,341
136,TychiKitty,P421813,4.2669,5,combination,brown,black,dark,,347
137,SumayyahsMom,P421813,4.2669,4,,,,,,439
138,CC84,P421813,4.2669,3,combination,hazel,blonde,light,,221
139,kinmama,P421813,4.2669,5,,,,,,439
140,MrsBrower,P421813,4.2669,5,,,,,,439
141,Talia2011,P421813,4.2669,5,oily,brown,black,deep,,346
142,brbs023,P421813,4.2669,5,,brown,,medium,35to44,333
143,karmabeautified,P421813,4.2669,5,,,,,,439
145,BenRyan,P421813,4.2669,5,dry,blue,brunette,porcelain,,115
146,ssavage1,P421813,4.2669,2,combination,blue,black,light,,141
147,lola6,P421813,4.2669,5,oily,brown,brunette,olive,25to34,312
148,RenaeJo,P421813,4.2669,1,combination,green,brunette,medium,,013
149,webbjess23,P421813,4.2669,1,combination,green,blonde,light,,021
150,BETOSPRETTYEY3S,P421813,4.2669,4,,,,,,439
151,MDees98,P421813,4.2669,5,dry,blue,blonde,medium,,123
152,TheRealReal,P421813,4.2669,5,,,,,,439
153,sbjlouky,P421813,4.2669,5,normal,brown,black,dark,,347
154,buffu,P421813,4.2669,5,,,,,,439
155,EmmaleeV96,P421813,4.2669,5,,,,,,439
156,Iziziz,P421813,4.2669,1,oily,brown,black,tan,,344
157,bcla,P421813,4.2669,1,normal,blue,brunette,light,,111
158,Mahinatron,P421813,4.2669,5,combination,brown,black,medium,,343
159,JoTP,P421813,4.2669,2,,,,,,439
160,aquaeast,P421813,4.2669,5,combination,brown,black,tan,,344
161,emotionlotion,P421813,4.2669,3,,brown,,light,35to44,331
162,slochbih,P421813,4.2669,3,dry,brown,blonde,medium,,323
163,mkola,P421813,4.2669,2,combination,brown,black,tan,25to34,344
164,violethailey,P421813,4.2669,1,,,black,fair,,440
165,GailM1,P421813,4.2669,1,combination,brown,black,olive,18to24,342
166,Muchaesque,P421813,4.2669,2,,,,,,439
167,Madeline12,P421813,4.2669,4,,,,,,439
168,Rebo105,P421813,4.2669,3,combination,blue,blonde,fair,35to44,120
169,beetekla,P421813,4.2669,5,normal,gray,brunette,light,,511
170,Triz18,P421813,4.2669,5,,,,,,439
171,musicjunkie96,P421813,4.2669,4,,,,,,439
173,skrim,P421813,4.2669,5,,brown,,medium,18to24,333
174,BronzeQT,P421813,4.2669,5,,,,,,439
175,ZiggyBebop,P421813,4.2669,4,normal,green,brunette,fair,,010
176,lponzo,P421813,4.2669,2,,,,,,439
177,alohafromtexas,P421813,4.2669,3,combination,brown,black,deep,,346
178,loo8y,P421813,4.2669,5,,green,,medium,over54,033
179,aquaeast,P421813,4.2669,5,,,,,,439
180,DibbsOnDeMaKeUp,P421813,4.2669,4,,green,,medium,25to34,033
181,makeupyay,P421813,4.2669,5,normal,blue,blonde,light,,121
182,beautifullybea,P421813,4.2669,1,dry,brown,black,ebony,25to34,348
183,Alita6,P421813,4.2669,4,,,,,25to34,439
184,alexandra825,P421813,4.2669,1,,green,,fair,45to54,030
185,ChTruffles,P421813,4.2669,4,,brown,,dark,,337
186,LolaRam,P421813,4.2669,1,oily,brown,black,deep,over54,346
187,leenie312,P421813,4.2669,1,,,,,,439
188,leximayhew,P421813,4.2669,5,,,,medium,,433
189,LipstickLove123,P421813,4.2669,1,,,,,,439
190,Bleka,P421813,4.2669,5,,green,,medium,13to17,033
191,gaylemg,P421813,4.2669,5,oily,brown,black,medium,,343
192,MDShoeDiva,P421813,4.2669,5,,brown,,deep,35to44,336
193,phay,P421813,4.2669,5,combination,brown,black,olive,25to34,342
194,kittykat7711,P421813,4.2669,3,,,,,,439
195,LazyNickname,P421813,4.2669,5,,,,,,439
196,JRBAR,P421813,4.2669,5,,,,,,439
197,Gaby02,P421813,4.2669,5,,,,,,439
198,jabbott,P421813,4.2669,4,combination,blue,red,porcelain,,105
199,ALynneil,P421813,4.2669,2,normal,hazel,red,fair,25to34,200
200,elj5026,P393411,4.3648,3,oily,brown,brunette,dark,,317
201,alerequena,P393411,4.3648,4,normal,hazel,brunette,fair,,210
202,Stormie1306,P393411,4.3648,5,combination,hazel,blonde,fair,,220
203,mimosa14,P393411,4.3648,5,combination,brown,black,light,,341
204,BrandiN87,P393411,4.3648,5,combination,blue,auburn,light,18to24,151
205,Chickenbone,P393411,4.3648,3,oily,blue,brunette,medium,,113
206,NatPSU,P393411,4.3648,1,combination,green,blonde,fair,13to17,020
207,craftycoug,P393411,4.3648,4,,gray,,fair,25to34,530
208,zawahahaha,P393411,4.3648,4,,,,,,439
209,KeeganBrunell,P393411,4.3648,5,,,,,,439
210,leslieineh,P393411,4.3648,4,,,,,,439
211,Doooooris,P393411,4.3648,4,,brown,,fair,25to34,330
212,jk220,P393411,4.3648,5,,,,,,439
213,nicole335,P393411,4.3648,4,,,,,,439
214,yadira23,P393411,4.3648,5,,,,,,439
215,tinnna,P393411,4.3648,4,,,,,,439
216,superjules,P393411,4.3648,5,,hazel,,fair,45to54,230
217,JDC717,P393411,4.3648,5,,blue,,fair,25to34,130
218,shihfan,P393411,4.3648,3,,brown,,olive,25to34,332
219,rachenall,P393411,4.3648,5,,blue,,fair,25to34,130
220,NouNou18,P393411,4.3648,5,,,,,,439
221,Jillaqui,P393411,4.3648,5,oily,brown,brunette,medium,,313
222,Lulibing,P393411,4.3648,5,combination,green,brunette,medium,,013
223,Febriarini,P393411,4.3648,5,combination,brown,black,light,,341
224,Nesia,P393411,4.3648,5,normal,brown,black,dark,,347
225,wewe123,P393411,4.3648,5,combination,brown,black,fair,,340
226,saintcecilia,P393411,4.3648,4,combination,blue,red,porcelain,25to34,105
227,tputt,P393411,4.3648,5,,brown,,light,25to34,331
228,lightangel88,P393411,4.3648,4,,brown,,medium,25to34,333
229,Mengge,P393411,4.3648,5,,,,,18to24,439
230,kimmycake,P393411,4.3648,5,,brown,,olive,18to24,332
231,lululace,P393411,4.3648,5,,green,,olive,25to34,032
232,lilbear90,P393411,4.3648,5,,,,,,439
233,Eri24,P393411,4.3648,4,,,,,,439
234,lovesmakeup0210,P393411,4.3648,5,,hazel,,light,35to44,231
235,lydddds,P393411,4.3648,4,,,,,,439
236,kzzylee,P393411,4.3648,5,,green,,light,35to44,031
237,lunalalala,P393411,4.3648,5,,,,,,439
238,liuliu,P393411,4.3648,5,,brown,,medium,18to24,333
239,cassie0909,P393411,4.3648,5,,gray,,fair,18to24,530
240,KMH170,P393411,4.3648,3,,blue,,fair,25to34,130
241,paytonp,P393411,4.3648,5,,blue,,fair,13to17,130
242,candicekp,P393411,4.3648,4,,,,,,439
243,papmered,P393411,4.3648,5,,,,,,439
244,Mandy03,P393411,4.3648,5,,green,,light,25to34,031
245,selena0214,P393411,4.3648,5,,,,,,439
246,mijung01,P393411,4.3648,4,,,,,,439
247,BuaAgnes,P393411,4.3648,5,,,,,,439
248,katiexdarling,P393411,4.3648,4,,brown,,medium,18to24,333
249,meigomeigo,P393411,4.3648,4,,,,,,439
250,GiuliaHe,P393411,4.3648,5,,brown,,light,25to34,331
251,missmartinn,P393411,4.3648,5,,,,,,439
252,yuukoyo,P393411,4.3648,3,,,,,,439
253,ChloeHJKIm,P393411,4.3648,5,,brown,,light,25to34,331
254,QuriousLei,P393411,4.3648,5,,,,,25to34,439
256,swr0000,P393411,4.3648,5,,brown,,light,25to34,331
257,tryingtosoothe,P393411,4.3648,5,,,,fair,25to34,430
258,IvanaS,P393411,4.3648,4,,,,,,439
259,robinkim,P393411,4.3648,5,,brown,,light,18to24,331
260,Radz04,P393411,4.3648,5,,,,,,439
261,iheartmu6,P393411,4.3648,5,,brown,,medium,25to34,333
262,elsie77,P393411,4.3648,4,,brown,,light,18to24,331
263,Caitthegreat312,P393411,4.3648,3,,,,,,439
264,Nishater,P393411,4.3648,5,,brown,,deep,35to44,336
265,beachbum16,P393411,4.3648,3,,blue,,light,25to34,131
266,butterblume,P393411,4.3648,5,,brown,,light,25to34,331
267,fangye,P393411,4.3648,5,,,,,,439
268,ChristyMW77,P393411,4.3648,5,combination,green,blonde,light,35to44,021
269,sophieyue,P393411,4.3648,5,,,,,,439
270,JuliaMichelle2,P393411,4.3648,5,,,,,,439
271,anyaa,P393411,4.3648,5,combination,brown,brunette,light,,311
272,WiniW,P393411,4.3648,5,,brown,,light,25to34,331
273,DanceIntheRain,P393411,4.3648,5,,,,,,439
274,LoveLifeLive,P393411,4.3648,5,,brown,,olive,18to24,332
275,LoveKuma,P393411,4.3648,5,,brown,,light,13to17,331
276,maygone,P393411,4.3648,4,,blue,,fair,25to34,130
277,KellieKat,P393411,4.3648,5,,blue,,light,25to34,131
278,HahaNini,P393411,4.3648,4,,brown,,medium,18to24,333
279,mariya88,P393411,4.3648,5,,,,fair,25to34,430
280,icynessa,P393411,4.3648,5,dry,brown,blonde,porcelain,,325
281,Katzhang89,P393411,4.3648,5,combination,brown,black,light,,341
282,ViolettaM,P393411,4.3648,4,,brown,,medium,25to34,333
283,Daisydreamer,P393411,4.3648,5,,brown,,olive,25to34,332
284,boww,P393411,4.3648,5,,,,,45to54,439
285,Kbeautyn,P393411,4.3648,5,combination,blue,brunette,light,,111
286,katherine0422,P393411,4.3648,5,,,,,,439
287,shibu,P393411,4.3648,5,,,,,,439
288,EllaPena,P393411,4.3648,5,,brown,,medium,25to34,333
289,Seema82,P393411,4.3648,4,,,,,,439
290,xuanmulsy,P393411,4.3648,5,,brown,,fair,25to34,330
291,Grace1986,P393411,4.3648,5,normal,hazel,brunette,fair,,210
292,alericardezg,P393411,4.3648,5,,brown,,light,18to24,331
293,KKsKK,P393411,4.3648,4,,,,,,439
294,sarahsjiang,P393411,4.3648,5,,brown,,light,18to24,331
295,koalabingham88,P393411,4.3648,5,,brown,,light,25to34,331
296,maybemei,P393411,4.3648,4,,,,,,439
297,drunkenshrimp,P393411,4.3648,2,,brown,,fair,18to24,330
298,CharlieQuinn,P393411,4.3648,5,,brown,,light,18to24,331
299,hadleyyyy,P393411,4.3648,5,,,,,,439
300,marionf,P434529,4.195,1,combination,green,red,light,25to34,001
301,4reshAIR,P434529,4.195,1,combination,,blonde,light,,421
302,reareg,P434529,4.195,5,dry,brown,black,medium,,343
303,monastar21,P434529,4.195,3,combination,green,brunette,fair,,010
304,MarleeJ,P434529,4.195,3,dry,brown,blonde,fair,25to34,320
305,secondpage,P434529,4.195,1,normal,brown,black,light,,341
306,MoneroB,P434529,4.195,2,combination,brown,black,deep,over54,346
307,danio15,P434529,4.195,2,combination,blue,auburn,porcelain,18to24,155
308,nrerickson,P434529,4.195,5,combination,blue,blonde,fair,,120
309,godofcrochet,P434529,4.195,4,combination,green,brunette,medium,,013
310,sonya04,P434529,4.195,3,dry,brown,black,tan,,344
311,Rilakumabubu,P434529,4.195,5,combination,brown,black,light,,341
312,bloodpoison,P434529,4.195,4,combination,hazel,brunette,light,,211
313,Sivaranjani,P434529,4.195,3,combination,brown,black,olive,,342
314,1aaaa,P434529,4.195,1,oily,brown,brunette,tan,,314
315,babyloubear,P434529,4.195,1,combination,brown,black,fair,,340
316,Luna718,P434529,4.195,1,combination,brown,black,olive,over54,342
317,DaisyQ124,P434529,4.195,5,combination,brown,brunette,porcelain,,315
318,LisePiece,P434529,4.195,5,combination,brown,brunette,medium,18to24,313
319,rubysinclair,P434529,4.195,5,combination,brown,brunette,medium,,313
320,angel7594,P434529,4.195,5,dry,blue,brunette,light,,111
321,langela1983,P434529,4.195,3,dry,brown,black,medium,,343
322,Upsna,P434529,4.195,5,normal,brown,black,light,18to24,341
323,Angzhala,P434529,4.195,5,combination,brown,black,fair,,340
324,toofacedguru,P434529,4.195,3,dry,brown,black,light,25to34,341
325,Nea312,P434529,4.195,5,combination,hazel,brunette,medium,35to44,213
326,jasz1lla,P434529,4.195,5,combination,brown,black,dark,,347
327,parit,P434529,4.195,5,normal,brown,gray,medium,,363
328,sammysunshine,P434529,4.195,3,combination,brown,brunette,medium,,313
329,gigi646,P434529,4.195,5,combination,brown,black,deep,,346
330,CurlyCurlyCurly,P434529,4.195,2,oily,brown,auburn,fair,35to44,350
331,MissMeBull,P434529,4.195,5,combination,brown,brunette,olive,35to44,312
332,newyorkcityowl,P434529,4.195,4,normal,brown,brunette,medium,,313
333,mamabear2006,P434529,4.195,5,oily,brown,brunette,fair,,310
334,charlottebelle,P434529,4.195,4,combination,brown,red,fair,,300
335,jbcdefg,P434529,4.195,2,combination,brown,black,medium,,343
336,lousybeatnik,P434529,4.195,5,combination,brown,brunette,light,,311
337,honeyq,P434529,4.195,4,combination,brown,brunette,tan,,314
338,fudgebrownie,P434529,4.195,4,dry,brown,black,deep,,346
339,Venessia,P434529,4.195,5,normal,brown,black,ebony,,348
340,AmulyaRao,P434529,4.195,4,oily,brown,black,deep,,346
341,subtleglow,P434529,4.195,5,normal,brown,red,fair,,300
342,StuntDoll,P434529,4.195,4,combination,brown,black,tan,,344
343,Lunaaaaa16,P434529,4.195,5,normal,brown,black,tan,,344
344,margu1623,P434529,4.195,5,normal,brown,black,light,,341
345,ccd89,P434529,4.195,5,combination,brown,brunette,porcelain,,315
346,balog86,P434529,4.195,5,dry,brown,brunette,medium,,313
347,cheekyirish,P434529,4.195,5,normal,blue,auburn,fair,25to34,150
348,Jessiiii1,P434529,4.195,5,combination,brown,brunette,medium,,313
349,karoly,P434529,4.195,3,dry,brown,brunette,fair,,310
350,KAYLADAWN87,P434529,4.195,5,dry,blue,brunette,fair,over54,110
351,Atlsweetpea11,P434529,4.195,5,combination,brown,black,medium,,343
352,goji,P434529,4.195,3,combination,brown,black,light,,341
353,magnacarla,P434529,4.195,5,normal,blue,brunette,fair,over54,110
354,esmeeeee,P434529,4.195,3,normal,brown,brunette,light,,311
355,shopgi,P434529,4.195,2,combination,blue,blonde,light,25to34,121
356,alexis168,P434529,4.195,5,dry,brown,black,medium,45to54,343
357,LucyLiptick,P434529,4.195,2,combination,brown,brunette,olive,,312
358,Lauvely,P434529,4.195,5,oily,brown,brunette,deep,,316
359,valccakes,P434529,4.195,5,combination,blue,red,porcelain,25to34,105
360,heyhollyjay,P434529,4.195,1,combination,brown,brunette,fair,,310
361,elie936,P434529,4.195,5,combination,blue,blonde,light,,121
362,SavageSav74,P434529,4.195,1,combination,green,blonde,porcelain,,025
363,Eyelashes1000,P434529,4.195,5,dry,hazel,brunette,medium,25to34,213
364,Glossylover,P434529,4.195,5,combination,brown,brunette,tan,,314
365,Justjamey,P434529,4.195,5,oily,blue,black,medium,35to44,143
366,beautyshopping,P434529,4.195,1,normal,brown,brunette,fair,,310
367,Jennyrogo,P434529,4.195,5,combination,gray,blonde,porcelain,,525
368,SpursGal21,P434529,4.195,5,combination,brown,brunette,olive,25to34,312
369,71na,P434529,4.195,3,normal,brown,black,light,,341
370,Chiffy,P434529,4.195,4,combination,brown,black,light,,341
371,lostartemis,P434529,4.195,4,combination,brown,brunette,tan,,314
372,BlackAthena,P434529,4.195,3,combination,brown,black,ebony,,348
373,thegirlx,P434529,4.195,1,combination,blue,blonde,fair,,120
374,stephy59,P434529,4.195,5,normal,green,brunette,fair,,010
375,Rosemarie21,P434529,4.195,1,normal,brown,black,olive,,342
376,Vmaemar,P434529,4.195,2,combination,brown,black,tan,,344
377,Lia24,P434529,4.195,4,,,,,,439
378,fabulouslibra,P434529,4.195,5,combination,brown,auburn,tan,,354
379,gatopeligro,P434529,4.195,4,oily,blue,blonde,porcelain,,125
380,wxyzz,P434529,4.195,2,combination,brown,brunette,medium,18to24,313
381,jackrabbit,P434529,4.195,5,combination,brown,black,dark,25to34,347
382,EvoletAllison,P434529,4.195,1,,,,,,439
383,cherrybomb93,P434529,4.195,1,dry,brown,black,dark,over54,347
384,dajones4,P434529,4.195,4,,brown,black,dark,,347
385,imtiaz,P434529,4.195,1,dry,green,brunette,porcelain,,015
386,mollyrdh,P434529,4.195,3,combination,brown,brunette,fair,,310
387,bratpak2020,P434529,4.195,4,dry,brown,black,dark,,347
388,goaldigger,P434529,4.195,2,dry,brown,black,medium,,343
389,ekhan1123,P434529,4.195,5,normal,brown,brunette,deep,,316
390,ElleNicole87,P434529,4.195,5,normal,brown,brunette,fair,,310
391,manpreet12,P434529,4.195,5,dry,brown,black,tan,25to34,344
392,MisakiH,P434529,4.195,2,dry,brown,brunette,fair,25to34,310
393,Nthomas,P434529,4.195,2,,brown,black,tan,,344
394,Blue0320,P434529,4.195,5,oily,brown,black,medium,,343
395,linda17a3,P434529,4.195,1,dry,gray,brunette,fair,,510
396,poojloves,P434529,4.195,5,combination,green,black,medium,,043
397,Sheda22,P434529,4.195,5,oily,brown,black,olive,,342
398,Emma9068,P434529,4.195,1,normal,brown,black,fair,,340
399,MonicaMichelleS,P434529,4.195,1,dry,brown,red,fair,,300
400,djemmyd,P431852,4.5841,3,dry,hazel,brunette,fair,,210
401,steamwolf,P431852,4.5841,5,combination,brown,black,light,,341
402,Nicole38,P431852,4.5841,5,combination,brown,brunette,tan,,314
403,bakeamuffin,P431852,4.5841,5,dry,blue,brunette,fair,25to34,110
404,mitzyinrepose,P431852,4.5841,5,normal,brown,brunette,dark,25to34,317
405,makeupjunkie526,P431852,4.5841,5,dry,hazel,blonde,medium,,223
406,Honey9,P431852,4.5841,5,combination,brown,brunette,light,,311
407,missgmfbeauty,P431852,4.5841,4,combination,brown,black,deep,,346
408,ellenw,P431852,4.5841,5,normal,brown,brunette,light,,311
409,LoveWhitneyx3,P431852,4.5841,5,combination,brown,black,dark,,347
410,ADisme,P431852,4.5841,5,dry,brown,black,deep,25to34,346
411,beautylove1,P431852,4.5841,5,,,,olive,,432
412,Stephanopolis,P431852,4.5841,5,combination,brown,brunette,light,25to34,311
413,sedonath,P431852,4.5841,5,combination,brown,brunette,light,,311
414,Eddiemom,P431852,4.5841,5,oily,brown,black,dark,,347
415,LoLo777,P431852,4.5841,5,combination,hazel,brunette,fair,,210
416,elprup,P431852,4.5841,5,combination,brown,black,dark,,347
417,yrenne,P431852,4.5841,2,dry,brown,brunette,olive,,312
418,dieci,P431852,4.5841,5,oily,green,brunette,medium,,013
419,browninks,P431852,4.5841,5,combination,hazel,brunette,medium,,213
420,DuchessV,P431852,4.5841,4,normal,hazel,brunette,light,25to34,211
421,gaabsaab13,P431852,4.5841,5,combination,brown,brunette,olive,,312
422,celinecherie,P431852,4.5841,5,oily,brown,black,medium,,343
423,Tess2014,P431852,4.5841,5,dry,blue,auburn,fair,45to54,150
